love
lovers
lover
hope
hopefully
hopes
hopeful
want
wants
wanting
wish
wished
wishing
wishes
dream
dreams
dreamed
daydreaming
dreaming
desired
desire
desires
buy
buying
buys
purchase
purchases
wanted
always
like
need
needs
prefer
have
future
